City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,Manggar,-2.8833,108.2667,79.5,85,100,6.64,ID,2022-01-09 17:00:30
69,Mahebourg,-20.4081,57.7,78.26,80,92,6.33,MU,2022-01-09 17:00:30
70,Saint-Philippe,-21.3585,55.7679,80.19,81,70,8.19,RE,2022-01-09 17:00:30
71,Portland,45.5234,-122.6762,43.29,86,40,1.01,US,2022-01-09 16:55:43
72,Mitu,1.1983,-70.1733,89.92,39,86,6.49,CO,2022-01-09 17:00:31
73,Kathu,7.9178,98.3332,78.62,77,38,11.59,TH,2022-01-09 17:00:31
74,Senador Jose Porfirio,-2.5908,-51.9542,74.93,92,100,2.35,BR,2022-01-09 17:00:32
75,Thompson,55.7435,-97.8558,-19.35,86,23,11.25,CA,2022-01-09 17:00:32
76,Bambanglipuro,-7.95,110.2833,77.61,86,100,3.91,ID,2022-01-09 17:00:32
77,Bandrele,-12.9067,45.1914,78.55,83,0,9.22,YT,2022-01-09 17:00:33
78,Ilulissat,69.2167,-51.1,8.62,72,75,4.61,GL,2022-01-09 17:00:33
79,Shenzhen,22.5455,114.0683,64.35,86,10,3.94,CN,2022-01-09 16:58:13
80,Narsaq,60.9167,-46.05,16.02,92,100,1.99,GL,2022-01-09 17:00:33
81,Alindao,5.0267,21.2088,88.83,29,81,2.98,CF,2022-01-09 17:00:34
82,Butaritari,3.0707,172.7902,80.51,78,96,11.92,KI,2022-01-09 17:00:34
83,Mayya,61.7333,130.2811,-40.68,100,66,1.45,RU,2022-01-09 17:00:35
84,Chokurdakh,70.6333,147.9167,-24.03,94,70,8.77,RU,2022-01-09 17:00:35
85,Zhucheng,35.9947,119.3975,33.66,65,98,4.59,CN,2022-01-09 17:00:36
86,Katsuura,35.1333,140.3,48.31,72,100,15.7,JP,2022-01-09 17:00:36
87,Barrow,71.2906,-156.7887,-18.38,69,0,6.91,US,2022-01-09 17:00:37
88,Souillac,-20.5167,57.5167,78.37,81,96,5.48,MU,2022-01-09 17:00:37
89,Korla,41.7597,86.1469,25.09,58,78,4.9,CN,2022-01-09 17:00:29
90,Port Elizabeth,-33.918,25.5701,73.69,78,0,10.36,ZA,2022-01-09 16:55:53
91,Codrington,-38.2667,141.9667,54.36,93,21,7.29,AU,2022-01-09 17:01:38
92,Tiksi,71.6872,128.8694,-17.99,91,68,9.62,RU,2022-01-09 17:01:38
93,Walvis Bay,-22.9575,14.5053,71.1,80,86,14.65,NA,2022-01-09 17:01:39
94,Kodiak,57.79,-152.4072,31.51,69,100,16.11,US,2022-01-09 17:01:39
95,Qui Nhon,13.7667,109.2333,72.12,89,69,6.51,VN,2022-01-09 17:01:39
96,Enzan,35.7,138.7333,38.62,68,92,3.24,JP,2022-01-09 17:01:39
